Station_ID,City,State,Latitude,Longitude,Charger_Type,Capacity_KW,Cost_Per_Unit,Status
KA-MYS-0042,Mysore,Karnataka,12.41794805343769,76.78388471362436,Hybrid,3.3,25.31,Operational
KA-HUB-0043,Hubli,Karnataka,15.468512533355744,75.12831596560882,AC Slow,7.2,16.75,Operational
KA-BEL-0044,Belgaum,Karnataka,15.985763025314437,74.49665505188256,AC Slow,11.0,19.93,Operational
KA-MYS-0045,Mysore,Karnataka,12.284316833021741,76.59600220931942,AC Slow,11.0,16.79,Operational
KA-HUB-0046,Hubli,Karnataka,15.339063199808187,75.17608722216652,AC Slow,11.0,14.35,Operational
KA-BAN-0047,Bangalore,Karnataka,13.340513861616008,77.85573404533174,DC Fast,50.0,24.72,Operational
KA-BAN-0048,Bangalore,Karnataka,13.04742947805345,77.59332512336799,AC Slow,7.2,21.37,Operational
KA-BAN-0049,Bangalore,Karnataka,12.92365314492093,77.6416977891042,AC Slow,3.3,19.96,Operational
KA-MYS-0050,Mysore,Karnataka,12.298418480908033,76.70766693778548,DC Fast,60.0,22.25,Operational
KA-MAN-0051,Mangalore,Karnataka,12.876388301920702,74.75366971675278,AC Slow,7.2,17.68,Operational
KA-BEL-0052,Belgaum,Karnataka,15.827621444434616,74.48847489323167,AC Slow,3.3,17.15,Operational
KA-BAN-0053,Bangalore,Karnataka,13.009421315957972,77.57587932897903,AC Slow,11.0,18.82,Operational
KA-BAN-0054,Bangalore,Karnataka,12.980234965354189,77.54700224388634,AC Slow,3.3,21.82,Operational
KA-BAN-0055,Bangalore,Karnataka,12.969611900789998,77.66942259629703,Hybrid,3.3,24.18,Operational
KA-BEL-0056,Belgaum,Karnataka,15.801184365333762,74.52040850247344,AC Slow,7.2,19.07,Operational
KA-BEL-0057,Belgaum,Karnataka,15.713017917167086,74.645769635602,AC Slow,7.2,20.84,Operational
KA-BAN-0058,Bangalore,Karnataka,13.149578618444725,77.61982649344048,DC Fast,25.0,20.75,Operational
KA-BEL-0059,Belgaum,Karnataka,15.790081654117248,74.48642706173005,Hybrid,3.3,23.87,Operational
KA-MYS-0060,Mysore,Karnataka,12.20245233805684,76.69186784321744,AC Slow,11.0,13.63,Operational
KA-BAN-0061,Bangalore,Karnataka,12.933410452548257,77.46153077038106,AC Slow,3.3,17.9,Operational
KA-MAN-0062,Mangalore,Karnataka,13.017057046897001,74.92944940186432,DC Fast,50.0,19.12,Operational
KA-BAN-0063,Bangalore,Karnataka,12.94179435571603,77.75070522076643,AC Slow,11.0,14.5,Operational
KA-BEL-0064,Belgaum,Karnataka,15.811968987077103,74.64098798945902,DC Fast,25.0,20.95,Operational
KA-MAN-0065,Mangalore,Karnataka,12.932563471037703,74.81600223030463,AC Slow,3.3,13.06,Operational
KA-BEL-0066,Belgaum,Karnataka,15.79427226167504,74.83335658214989,AC Slow,7.2,16.23,Operational
KA-BEL-0067,Belgaum,Karnataka,15.947380367696525,74.44795342552761,Hybrid,3.3,26.93,Operational
KA-BAN-0068,Bangalore,Karnataka,12.881403529416305,77.69663443882719,DC Fast,60.0,19.08,Operational
KA-MYS-0069,Mysore,Karnataka,12.38392453555981,76.63224961033197,AC Slow,7.2,18.89,Operational
KA-MAN-0070,Mangalore,Karnataka,12.992466978817612,74.85151882506695,DC Fast,150.0,20.56,Operational
KA-MAN-0071,Mangalore,Karnataka,12.88080996864378,74.92311213771846,AC Slow,7.2,16.37,Operational
KA-BAN-0072,Bangalore,Karnataka,12.897782660292814,77.74168166211773,AC Slow,11.0,13.69,Operational
KA-MAN-0073,Mangalore,Karnataka,12.76030192636314,74.79204208447484,DC Fast,60.0,21.81,Operational
KA-HUB-0074,Hubli,Karnataka,15.39295141210672,75.16703990432802,AC Slow,7.2,13.99,Operational
KA-HUB-0075,Hubli,Karnataka,15.389074640680153,75.46826193126199,DC Fast,50.0,24.24,Operational
KA-BAN-0076,Bangalore,Karnataka,12.982076831317354,77.56621299335755,AC Slow,11.0,19.89,Operational
KA-BAN-0077,Bangalore,Karnataka,12.943646585491695,77.71108770653717,AC Slow,11.0,13.12,Operational
KA-HUB-0078,Hubli,Karnataka,15.425394905713715,75.16045343154579,AC Slow,3.3,14.69,Operational
KA-BAN-0079,Bangalore,Karnataka,13.046268518402098,77.56722801388574,AC Slow,7.2,17.46,Operational
KA-BAN-0080,Bangalore,Karnataka,12.962893904282232,77.50972299760015,AC Slow,3.3,15.39,Operational
KA-BEL-0081,Belgaum,Karnataka,16.127357616488922,74.46255414173814,AC Slow,3.3,12.43,Operational
KA-BAN-0082,Bangalore,Karnataka,12.914430161384914,77.52802781687299,DC Fast,150.0,24.67,Operational
KA-BAN-0083,Bangalore,Karnataka,12.978694687884815,77.55656543655643,AC Slow,11.0,17.81,Operational
KA-MYS-0084,Mysore,Karnataka,12.274602187470887,76.62824247215002,AC Slow,7.2,19.58,Operational
KA-BAN-0085,Bangalore,Karnataka,12.958953145478102,77.57922566918485,DC Fast,50.0,27.43,Operational
KA-BAN-0086,Bangalore,Karnataka,13.18202571225086,77.63386350440975,DC Fast,150.0,26.38,Operational
KA-BAN-0087,Bangalore,Karnataka,12.671801998935228,77.50764584175637,Hybrid,7.2,26.73,Operational
KA-BAN-0088,Bangalore,Karnataka,12.924136745836496,77.56110424664577,Hybrid,11.0,21.68,Operational
KA-BAN-0089,Bangalore,Karnataka,12.948646502807101,77.58112594822992,AC Slow,3.3,13.29,Operational
KA-BAN-0090,Bangalore,Karnataka,12.974222203224725,77.62592157452602,AC Slow,3.3,14.96,Operational
KA-BAN-0091,Bangalore,Karnataka,12.999291700258294,77.60505273319883,Hybrid,11.0,20.41,Operational
KA-BAN-0092,Bangalore,Karnataka,12.79663943634526,77.5183490747156,AC Slow,11.0,15.52,Operational
KA-HUB-0093,Hubli,Karnataka,15.347646881348163,75.20753568002115,DC Fast,50.0,23.45,Operational
KA-MAN-0094,Mangalore,Karnataka,13.005130336155972,74.92997123253933,AC Slow,7.2,18.08,Operational
KA-MYS-0095,Mysore,Karnataka,12.231350498460971,76.6095900964577,Hybrid,7.2,24.01,Operational
KA-BAN-0096,Bangalore,Karnataka,12.996706305437607,77.64322797301304,AC Slow,7.2,16.13,Operational
KA-BAN-0097,Bangalore,Karnataka,12.947148547768867,77.54567606555923,AC Slow,7.2,17.29,Operational
KA-MAN-0098,Mangalore,Karnataka,13.054125548183839,75.03715790872472,Hybrid,3.3,24.64,Operational
KA-BAN-0099,Bangalore,Karnataka,13.110550628592174,77.62300684753706,AC Slow,11.0,17.67,Operational
KA-HUB-0100,Hubli,Karnataka,15.405600702151782,75.17459912264768,AC Slow,11.0,18.08,Operational
KA-BAN-0101,Bangalore,Karnataka,12.80433813929872,77.45425047917456,AC Slow,7.2,20.99,Operational
KA-BAN-0102,Bangalore,Karnataka,12.924663222891105,77.48601786473797,DC Fast,60.0,20.39,Operational
KA-BEL-0103,Belgaum,Karnataka,15.929852518659038,74.37535502293461,DC Fast,50.0,27.74,Operational
KA-BAN-0104,Bangalore,Karnataka,12.849914392202086,77.60179978678087,Hybrid,11.0,25.78,Operational
KA-BAN-0105,Bangalore,Karnataka,13.01609255624037,77.62710677474719,Hybrid,11.0,18.25,Operational
KA-BEL-0106,Belgaum,Karnataka,15.805092991805072,74.59500566899017,AC Slow,11.0,15.26,Operational
KA-BEL-0107,Belgaum,Karnataka,15.891117293968904,74.13049696561356,DC Fast,25.0,19.11,Operational
KA-BAN-0108,Bangalore,Karnataka,13.031870481529843,77.56794841923305,AC Slow,3.3,20.51,Operational
KA-BAN-0109,Bangalore,Karnataka,12.983164185452399,77.57434872167364,AC Slow,3.3,15.73,Operational
KA-BAN-0110,Bangalore,Karnataka,13.006235038407198,77.65853760892843,AC Slow,7.2,21.12,Operational
KA-MYS-0111,Mysore,Karnataka,12.456186466106388,76.6279216874115,AC Slow,3.3,12.43,Operational
KA-HUB-0112,Hubli,Karnataka,15.323691644841572,75.27268635027195,Hybrid,11.0,19.28,Operational
KA-MAN-0113,Mangalore,Karnataka,12.88757345744973,74.87584150422711,DC Fast,50.0,21.37,Operational
KA-BAN-0114,Bangalore,Karnataka,12.939136229714084,77.63505421590699,Hybrid,3.3,18.97,Operational
KA-MAN-0115,Mangalore,Karnataka,12.835916894544498,74.78962581981777,AC Slow,3.3,16.51,Operational
KA-BAN-0116,Bangalore,Karnataka,12.904054239873433,77.62228202508305,Hybrid,11.0,25.94,Operational
KA-BAN-0117,Bangalore,Karnataka,12.841634146410039,77.52780363131522,AC Slow,7.2,15.08,Operational
KA-BAN-0118,Bangalore,Karnataka,12.986102478046307,77.51798377970304,AC Slow,7.2,13.27,Operational
KA-BEL-0119,Belgaum,Karnataka,15.89057939100702,74.30369606426012,DC Fast,150.0,20.36,Operational
KA-BAN-0120,Bangalore,Karnataka,13.220428054613029,77.8223099575674,AC Slow,3.3,14.63,Operational
KA-BAN-0121,Bangalore,Karnataka,12.976761361094564,77.58174046105823,AC Slow,7.2,21.56,Operational
KA-MAN-0122,Mangalore,Karnataka,12.871181784778253,74.74297812226538,AC Slow,3.3,18.73,Operational
KA-MAN-0123,Mangalore,Karnataka,12.901643919762027,74.89457258428824,AC Slow,7.2,14.5,Operational
KA-BAN-0124,Bangalore,Karnataka,12.984777533706298,77.60445257155534,DC Fast,150.0,21.69,Operational
KA-MAN-0125,Mangalore,Karnataka,12.861660810781554,74.90661577497224,Hybrid,7.2,22.69,Operational
KA-BAN-0126,Bangalore,Karnataka,13.08067632680954,77.44649090861998,AC Slow,11.0,12.04,Operational
KA-BAN-0127,Bangalore,Karnataka,13.136926910338133,77.55114402697657,AC Slow,7.2,15.6,Operational
KA-BAN-0128,Bangalore,Karnataka,12.963759389611276,77.58552986546641,Hybrid,7.2,18.11,Operational
KA-BAN-0129,Bangalore,Karnataka,12.981034910676037,77.58294803332278,Hybrid,7.2,21.33,Operational
KA-BEL-0130,Belgaum,Karnataka,15.84596063316192,74.37363264103388,AC Slow,3.3,19.12,Operational
KA-BAN-0131,Bangalore,Karnataka,12.979452530058273,77.61821946932746,AC Slow,11.0,16.71,Operational
KA-MYS-0132,Mysore,Karnataka,12.296120429326862,76.71962042896912,AC Slow,11.0,12.69,Operational
KA-BAN-0133,Bangalore,Karnataka,13.133463231686218,77.82774639117697,AC Slow,7.2,18.56,Operational
KA-MYS-0134,Mysore,Karnataka,12.39548705760915,76.7251689273029,Hybrid,11.0,24.09,Operational
KA-BAN-0135,Bangalore,Karnataka,12.948739878234077,77.56432554428727,AC Slow,3.3,14.43,Operational
KA-BEL-0136,Belgaum,Karnataka,15.828464770402633,74.52998045771878,Hybrid,7.2,23.03,Operational
KA-BAN-0137,Bangalore,Karnataka,12.89868255751866,77.64318288152099,AC Slow,3.3,20.14,Operational
KA-HUB-0138,Hubli,Karnataka,15.496116725664974,75.10254022501138,DC Fast,25.0,23.1,Operational
KA-MYS-0139,Mysore,Karnataka,12.041756068367024,76.62969342433284,AC Slow,11.0,19.46,Operational
KA-BEL-0140,Belgaum,Karnataka,15.843657090890934,74.55779850702079,AC Slow,11.0,14.68,Operational
KA-MAN-0141,Mangalore,Karnataka,12.921464607832016,74.94967709372892,Hybrid,7.2,27.9,Operational
KA-BAN-0142,Bangalore,Karnataka,13.051266212304213,77.5786183194166,AC Slow,7.2,19.59,Operational
KA-BAN-0143,Bangalore,Karnataka,12.899694199289433,77.65882503222538,AC Slow,11.0,19.94,Operational
KA-BAN-0144,Bangalore,Karnataka,13.2326059785824,77.70159118433043,DC Fast,25.0,19.87,Operational
KA-MAN-0145,Mangalore,Karnataka,12.82977509742824,74.84872170827522,AC Slow,7.2,14.74,Operational
KA-BAN-0146,Bangalore,Karnataka,12.928606280983164,77.68185673165888,DC Fast,150.0,24.24,Operational
KA-BAN-0147,Bangalore,Karnataka,12.973668567089089,77.57572353888717,AC Slow,11.0,16.97,Operational
KA-MYS-0148,Mysore,Karnataka,12.27834423633716,76.65759220386268,Hybrid,7.2,23.26,Operational
KA-HUB-0149,Hubli,Karnataka,15.38676287541219,75.27302379376175,AC Slow,7.2,20.92,Operational
KA-BAN-0150,Bangalore,Karnataka,12.840977694831503,77.70165022012364,DC Fast,60.0,21.42,Operational
KA-MAN-0151,Mangalore,Karnataka,12.844878401612295,74.9032917221314,AC Slow,11.0,16.63,Operational
KA-MAN-0152,Mangalore,Karnataka,12.904991706432355,74.88728520180713,AC Slow,11.0,17.76,Operational
KA-BAN-0153,Bangalore,Karnataka,12.955056767900846,77.6260174951577,AC Slow,7.2,16.82,Operational
KA-BAN-0154,Bangalore,Karnataka,13.016782594239945,77.52772455474616,Hybrid,11.0,27.01,Operational
KA-HUB-0155,Hubli,Karnataka,15.259758083138408,75.1356008129779,AC Slow,11.0,15.17,Operational
KA-BAN-0156,Bangalore,Karnataka,13.121722539856084,77.48875116345597,AC Slow,11.0,12.67,Operational
KA-BAN-0157,Bangalore,Karnataka,13.06626457399034,77.69448200853927,DC Fast,60.0,22.4,Operational
KA-BEL-0158,Belgaum,Karnataka,15.867237347785974,74.59390733092366,AC Slow,3.3,17.46,Operational
KA-BEL-0159,Belgaum,Karnataka,15.77922009539841,74.68014680544286,AC Slow,11.0,12.97,Operational
KA-MYS-0160,Mysore,Karnataka,12.304955101051913,76.65623346823133,DC Fast,150.0,21.22,Operational
KA-MAN-0161,Mangalore,Karnataka,12.952687866470809,74.80627263194253,Hybrid,11.0,22.85,Operational
KA-BAN-0162,Bangalore,Karnataka,12.96785585400235,77.68476292729716,AC Slow,7.2,13.38,Operational
KA-BAN-0163,Bangalore,Karnataka,13.441703033785055,77.51938305433798,Hybrid,3.3,19.51,Operational
KA-HUB-0164,Hubli,Karnataka,15.371672866740553,75.03523895351209,AC Slow,7.2,15.24,Operational
KA-MAN-0165,Mangalore,Karnataka,12.919037985566774,74.8871298356904,AC Slow,11.0,13.97,Operational
KA-HUB-0166,Hubli,Karnataka,15.327578803543473,75.11576057488026,Hybrid,7.2,26.31,Operational
KA-MYS-0167,Mysore,Karnataka,12.080325980322772,76.61416231852554,AC Slow,7.2,16.22,Operational
KA-BEL-0168,Belgaum,Karnataka,15.807877715692248,74.52988394414436,AC Slow,3.3,20.38,Operational
KA-BAN-0169,Bangalore,Karnataka,13.005876814435368,77.73696346811113,DC Fast,60.0,24.82,Operational
KA-HUB-0170,Hubli,Karnataka,15.407372803724535,75.11565876673917,Hybrid,7.2,20.09,Operational
KA-BAN-0171,Bangalore,Karnataka,13.02031227733237,77.40887912515998,AC Slow,7.2,15.16,Operational
KA-BAN-0172,Bangalore,Karnataka,13.074596128108576,77.50913392868195,AC Slow,7.2,17.71,Operational
KA-MYS-0173,Mysore,Karnataka,12.411693454798167,76.6319626770604,AC Slow,3.3,16.06,Operational
KA-BAN-0174,Bangalore,Karnataka,12.92697367222516,77.58631962974522,AC Slow,3.3,16.32,Operational
KA-MAN-0175,Mangalore,Karnataka,12.918342191102617,74.85555354519822,DC Fast,150.0,21.15,Operational
KA-BEL-0176,Belgaum,Karnataka,15.935486173126327,74.43475114634488,DC Fast,60.0,20.86,Operational
KA-BAN-0177,Bangalore,Karnataka,12.968469865516091,77.72895864291976,DC Fast,50.0,20.12,Operational
KA-HUB-0178,Hubli,Karnataka,15.31541333683304,75.26111430314505,Hybrid,7.2,22.49,Operational
KA-HUB-0179,Hubli,Karnataka,15.50200552109949,75.08638828570614,Hybrid,3.3,27.78,Operational
KA-BEL-0180,Belgaum,Karnataka,15.861925148949826,74.60025210654808,AC Slow,11.0,15.29,Operational
KA-MAN-0181,Mangalore,Karnataka,12.886601936381156,74.79749841162071,AC Slow,7.2,19.59,Operational
KA-MYS-0182,Mysore,Karnataka,12.325514149175646,76.64186103538356,AC Slow,11.0,20.8,Operational
KA-HUB-0183,Hubli,Karnataka,15.363044904542472,75.20552325140346,AC Slow,7.2,19.31,Operational
KA-BAN-0184,Bangalore,Karnataka,13.04510464965997,77.58435698198211,AC Slow,7.2,17.34,Operational
KA-MAN-0185,Mangalore,Karnataka,12.894052634554342,75.07291522223423,Hybrid,11.0,24.41,Operational
KA-BAN-0186,Bangalore,Karnataka,12.8775168937503,77.65866765070115,Hybrid,3.3,24.59,Operational
KA-BEL-0187,Belgaum,Karnataka,15.938824662976103,74.65875225979923,DC Fast,50.0,24.79,Operational
KA-BEL-0188,Belgaum,Karnataka,15.847473901673238,74.49900726771192,DC Fast,60.0,23.49,Operational
KA-BEL-0189,Belgaum,Karnataka,15.892553990004282,74.57526265854938,Hybrid,7.2,19.96,Operational
KA-BAN-0190,Bangalore,Karnataka,12.98807821521953,77.536968039103,AC Slow,7.2,17.6,Operational
KA-BAN-0191,Bangalore,Karnataka,12.959807836603433,77.6543590310708,AC Slow,7.2,17.13,Operational
KA-HUB-0192,Hubli,Karnataka,15.393082465038395,75.11893982182643,AC Slow,11.0,13.14,Operational
KA-BAN-0193,Bangalore,Karnataka,12.994758034197275,77.45625463743951,AC Slow,11.0,13.63,Operational
KA-BAN-0194,Bangalore,Karnataka,13.065170203835208,77.5587962771448,DC Fast,150.0,24.2,Operational
KA-MAN-0195,Mangalore,Karnataka,12.943431766437051,74.87663617723935,DC Fast,60.0,25.69,Operational
KA-BAN-0196,Bangalore,Karnataka,12.900345527179145,77.61248512641689,AC Slow,7.2,13.85,Operational
KA-MYS-0197,Mysore,Karnataka,12.372737120859565,76.64859451188865,DC Fast,150.0,21.88,Operational
KA-BEL-0198,Belgaum,Karnataka,15.823996725801834,74.47212266499731,DC Fast,60.0,27.33,Operational
KA-MAN-0199,Mangalore,Karnataka,12.960046674843008,75.0590189169733,AC Slow,7.2,16.58,Operational
KA-MYS-0200,Mysore,Karnataka,12.302188769012899,76.57242172370984,AC Slow,11.0,14.36,Operational
KA-HUB-0201,Hubli,Karnataka,15.316893325809968,75.03384884988712,DC Fast,50.0,22.06,Operational
KA-BEL-0202,Belgaum,Karnataka,15.835573223068105,74.52242314930972,AC Slow,3.3,20.01,Operational
KA-MYS-0203,Mysore,Karnataka,12.24416644288331,76.59028934864791,AC Slow,3.3,13.31,Operational
KA-BAN-0204,Bangalore,Karnataka,13.042457314207475,77.62040749874643,AC Slow,11.0,13.16,Operational
KA-BEL-0205,Belgaum,Karnataka,15.922198672523821,74.48582647202024,DC Fast,60.0,18.73,Operational
KA-MAN-0206,Mangalore,Karnataka,12.889283090654674,74.77190848063256,DC Fast,25.0,20.1,Operational
KA-BEL-0207,Belgaum,Karnataka,15.866047674482196,74.54768995596552,AC Slow,7.2,17.8,Operational
KA-BAN-0208,Bangalore,Karnataka,12.95756362382989,77.25396205315622,AC Slow,7.2,13.89,Operational
KA-BAN-0209,Bangalore,Karnataka,12.938016222323407,77.45308779298188,DC Fast,50.0,27.14,Operational
KA-HUB-0210,Hubli,Karnataka,15.513606897289689,75.00251781894042,AC Slow,3.3,12.49,Operational
KA-BAN-0211,Bangalore,Karnataka,12.979043339965989,77.61020908714656,AC Slow,7.2,20.1,Operational
KA-BAN-0212,Bangalore,Karnataka,12.939119907279073,77.61630719615256,AC Slow,3.3,20.86,Operational
KA-BAN-0213,Bangalore,Karnataka,13.007093908429235,77.57782620003901,AC Slow,7.2,20.63,Operational
KA-MYS-0214,Mysore,Karnataka,12.272286498014498,76.62357237562208,AC Slow,7.2,13.73,Operational
KA-MAN-0215,Mangalore,Karnataka,12.769278666628528,74.74771739239452,AC Slow,7.2,19.79,Operational
KA-HUB-0216,Hubli,Karnataka,15.391189249782604,75.0997210604583,AC Slow,7.2,20.43,Operational
KA-MYS-0217,Mysore,Karnataka,12.209197255405194,76.6142317144917,Hybrid,11.0,27.27,Operational
KA-BEL-0218,Belgaum,Karnataka,15.775696751326237,74.54302877253323,AC Slow,7.2,16.25,Operational
KA-BAN-0219,Bangalore,Karnataka,12.98677172614526,77.64671706709593,AC Slow,11.0,12.78,Operational
KA-HUB-0220,Hubli,Karnataka,15.281654115670191,74.96781206657016,AC Slow,11.0,20.49,Operational
KA-BAN-0221,Bangalore,Karnataka,12.961621459963416,77.48839883214038,AC Slow,7.2,13.97,Operational
KA-MAN-0222,Mangalore,Karnataka,12.887870008485024,74.82472611294278,AC Slow,11.0,12.96,Operational
KA-MYS-0223,Mysore,Karnataka,12.453598311629074,76.64715967288583,AC Slow,7.2,18.9,Operational
KA-BAN-0224,Bangalore,Karnataka,13.1169772629922,77.62005896655006,DC Fast,150.0,18.31,Operational
KA-BEL-0225,Belgaum,Karnataka,15.849135029151254,74.4342100668451,AC Slow,3.3,15.98,Operational
KA-BEL-0226,Belgaum,Karnataka,15.829778217046663,74.43686239271312,AC Slow,3.3,18.02,Operational
KA-MAN-0227,Mangalore,Karnataka,12.984512584946616,74.91493821368256,Hybrid,11.0,21.03,Operational
KA-MYS-0228,Mysore,Karnataka,12.168038693076552,76.62463772532483,DC Fast,150.0,22.63,Operational
KA-MAN-0229,Mangalore,Karnataka,12.951704956939865,74.74761301831964,Hybrid,3.3,22.86,Operational
KA-HUB-0230,Hubli,Karnataka,15.368605463207205,75.0995119270366,AC Slow,11.0,18.63,Operational
KA-BAN-0231,Bangalore,Karnataka,12.905946136182223,77.55602005757824,AC Slow,3.3,21.03,Operational
KA-BAN-0232,Bangalore,Karnataka,12.961042471047476,77.5906927070762,AC Slow,3.3,18.22,Operational
KA-HUB-0233,Hubli,Karnataka,15.388412012746501,75.11672606745127,AC Slow,3.3,17.39,Operational
KA-BAN-0234,Bangalore,Karnataka,12.84600835089159,77.64914613654773,AC Slow,11.0,14.09,Operational
KA-HUB-0235,Hubli,Karnataka,15.355947724980192,75.12485564151284,DC Fast,50.0,19.13,Operational
KA-HUB-0236,Hubli,Karnataka,15.43734632705345,75.15744033625153,DC Fast,50.0,19.5,Operational
KA-BAN-0237,Bangalore,Karnataka,12.928603973242435,77.68435429564107,Hybrid,7.2,18.92,Operational
KA-BAN-0238,Bangalore,Karnataka,12.93905534370301,77.63874155990182,AC Slow,7.2,12.98,Operational
KA-BEL-0239,Belgaum,Karnataka,15.862636146819021,74.28782698299467,AC Slow,7.2,12.18,Operational
KA-MAN-0240,Mangalore,Karnataka,12.978835740673933,74.94695736661798,AC Slow,7.2,13.99,Operational
KA-BEL-0241,Belgaum,Karnataka,15.825203323011628,74.52799763993407,Hybrid,7.2,20.85,Operational
KA-MAN-0242,Mangalore,Karnataka,12.85225288911351,74.91371761132055,AC Slow,3.3,13.33,Operational
KA-HUB-0243,Hubli,Karnataka,15.280799854334942,75.0638122860702,DC Fast,60.0,24.66,Operational
KA-MAN-0244,Mangalore,Karnataka,12.891034251815237,74.7583219398165,AC Slow,7.2,20.16,Operational
KA-BAN-0245,Bangalore,Karnataka,12.977344186813255,77.59114794677721,AC Slow,11.0,17.69,Operational
KA-MAN-0246,Mangalore,Karnataka,12.920770016923468,74.78905736645817,AC Slow,3.3,13.21,Operational
KA-BAN-0247,Bangalore,Karnataka,12.909563795440045,77.65411153033762,AC Slow,11.0,15.32,Operational
KA-BAN-0248,Bangalore,Karnataka,12.98938589498804,77.67762259703362,AC Slow,11.0,15.11,Operational
KA-MYS-0249,Mysore,Karnataka,12.294386631294046,76.58072064874966,Hybrid,7.2,22.38,Operational
